Species_ID,Abundance_Rank,Total_Individuals,Cell_Occurrence,Max_Age,Mean_Age,D_Sensitivity,B_Sensitivity
0,1,260,42,6,0.0,0.3745401188473625,0.18340450985343382
1,2,168,35,6,0.0,0.9507143064099162,0.3042422429595377
2,3,160,26,7,0.0,0.7319939418114051,0.5247564316322378
3,4,159,37,7,0.0,0.5986584841970366,0.43194501864211576
4,5,115,28,7,0.0,0.15601864044243652,0.2912291401980419
5,8,75,20,7,0.0,0.15599452033620265,0.6118528947223795
6,6,91,19,7,0.0,0.05808361216819946,0.13949386065204183
7,7,77,12,8,0.0,0.8661761457749352,0.29214464853521815
8,9,62,15,8,0.0,0.6011150117432088,0.3663618432936917
9,10,46,15,9,0.0,0.7080725777960455,0.45606998421703593
10,11,18,5,9,0.0,0.020584494295802447,0.7851759613930136
11,12,11,6,9,0.0,0.9699098521619943,0.19967378215835974
12,14,2,1,9,0.0,0.8324426408004217,0.5142344384136116
13,14,2,1,9,0.0,0.21233911067827616,0.5924145688620425
14,13,4,1,10,0.0,0.18182496720710062,0.046450412719997725
